epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,980.999,0.88611,0.49674,0.96938,0.91785,0.8532,0.91986,0.63683,1.1449,0.77435,1.21959,0.00073025,0.00073025,0.00073025
86,992.835,0.86276,0.48378,0.96646,0.87244,0.90257,0.92361,0.64529,1.21113,0.69007,1.24146,0.000724062,0.000724062,0.000724062
87,1004.31,0.87174,0.48459,0.94092,0.91552,0.89653,0.94503,0.64508,1.10028,0.67507,1.19093,0.000717875,0.000717875,0.000717875
88,1015.97,0.86018,0.4765,0.94408,0.86585,0.91836,0.93281,0.65441,1.07963,0.60364,1.16332,0.000711687,0.000711687,0.000711687
89,1027.84,0.83049,0.46844,0.94974,0.86825,0.88139,0.92037,0.64629,1.14447,0.71423,1.207,0.0007055,0.0007055,0.0007055
90,1039.15,0.84239,0.47229,0.95968,0.90435,0.90447,0.94375,0.63183,1.23101,0.68292,1.29074,0.000699312,0.000699312,0.000699312
91,1050.38,0.83976,0.47067,0.95496,0.90725,0.91364,0.93595,0.6318,1.15344,0.64122,1.23108,0.000693125,0.000693125,0.000693125
92,1061.52,0.83508,0.46877,0.94991,0.88434,0.91057,0.93021,0.64292,1.16881,0.76011,1.26093,0.000686937,0.000686937,0.000686937
93,1072.53,0.82437,0.46584,0.93968,0.90119,0.90363,0.93594,0.65374,1.23797,0.70702,1.30899,0.00068075,0.00068075,0.00068075
94,1083.65,0.83564,0.45744,0.94393,0.90096,0.88234,0.91773,0.62582,1.21696,0.7018,1.28843,0.000674562,0.000674562,0.000674562
95,1094.7,0.81549,0.45766,0.92118,0.87893,0.89135,0.92325,0.65134,1.21298,0.64257,1.2595,0.000668375,0.000668375,0.000668375
96,1105.82,0.81056,0.4547,0.94409,0.85919,0.88119,0.91494,0.64532,1.12339,0.73251,1.21236,0.000662188,0.000662188,0.000662188
97,1116.89,0.80935,0.45591,0.9592,0.93655,0.84682,0.90999,0.6347,1.16285,0.71178,1.25821,0.000656,0.000656,0.000656
98,1127.88,0.8234,0.46468,0.91984,0.87996,0.90201,0.93222,0.64982,1.19494,0.70844,1.29595,0.000649813,0.000649813,0.000649813
99,1138.96,0.79647,0.44099,0.92173,0.94586,0.85902,0.92549,0.63681,1.15815,0.69214,1.2404,0.000643625,0.000643625,0.000643625
100,1150.01,0.83871,0.45948,0.93761,0.93336,0.88449,0.93396,0.64909,1.16597,0.69099,1.2534,0.000637437,0.000637437,0.000637437
101,1161.32,0.7855,0.42696,0.91477,0.89773,0.90137,0.92088,0.6593,1.18222,0.72063,1.2782,0.00063125,0.00063125,0.00063125
102,1172.71,0.78766,0.43255,0.92025,0.93484,0.9093,0.93573,0.664,1.14402,0.66033,1.27368,0.000625062,0.000625062,0.000625062
103,1184.52,0.76423,0.41635,0.92101,0.90524,0.92446,0.94303,0.65849,1.15907,0.67308,1.25944,0.000618875,0.000618875,0.000618875
104,1196.42,0.77873,0.42793,0.91976,0.86603,0.92709,0.95596,0.67167,1.14351,0.65774,1.26132,0.000612687,0.000612687,0.000612687
105,1208.63,0.8144,0.45511,0.94074,0.94299,0.87478,0.92758,0.64576,1.14909,0.63346,1.24553,0.0006065,0.0006065,0.0006065
106,1220.57,0.79024,0.43525,0.92771,0.92481,0.89493,0.94766,0.6579,1.10125,0.62604,1.21959,0.000600313,0.000600313,0.000600313
107,1232.12,0.78148,0.42353,0.93327,0.92035,0.91836,0.948,0.65512,1.13629,0.61821,1.26283,0.000594125,0.000594125,0.000594125
108,1243.7,0.73807,0.40278,0.91043,0.93578,0.94614,0.95237,0.65361,1.17913,0.59991,1.26894,0.000587938,0.000587938,0.000587938
109,1255.21,0.76579,0.41666,0.90248,0.95528,0.87272,0.92575,0.64377,1.14557,0.64351,1.23902,0.00058175,0.00058175,0.00058175
